ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Inferior	Normal	Superior	Indice	Porcentaje
6014	-73.975	7.375	Medellín - Carare - Opón	BOLÍVAR	CANTAGALLO	12.3	11.6	76.1	3	76.1
6015	-73.925	7.375	Sogamoso - Lebrija - altiplano	BOLÍVAR	CANTAGALLO	11.7	16.3	72	3	72
6016	-73.875	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	PUERTO WILCHES	12.2	18.7	69.1	3	69.1
6017	-73.825	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	PUERTO WILCHES	13.2	16.3	70.4	3	70.4
6018	-73.775	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	PUERTO WILCHES	14.2	18.3	67.5	3	67.5
6019	-73.725	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	PUERTO WILCHES	15.1	16.2	68.7	3	68.7
6020	-73.675	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	SABANA DE TORRES	16	18.5	65.5	3	65.5
6021	-73.625	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	SABANA DE TORRES	13.8	23.9	62.3	3	62.3
6022	-73.575	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	SABANA DE TORRES	12.7	21.3	66	3	66
6023	-73.525	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	SABANA DE TORRES	12.9	24.6	62.6	3	62.6
6024	-73.475	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	SABANA DE TORRES	13.3	28.7	58	3	58
6025	-73.425	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	SABANA DE TORRES	13.6	28.2	58.2	3	58.2
6026	-73.375	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	LEBRIJA	13.6	30.5	55.9	3	55.9
6027	-73.325	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	RIONEGRO	14.4	31.5	54.2	3	54.2
6028	-73.275	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	RIONEGRO	14.7	28.9	56.4	3	56.4
6029	-73.225	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	RIONEGRO	16.4	34.7	49	3	49
6030	-73.175	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	RIONEGRO	18.5	36.1	45.4	3	45.4
6031	-73.125	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	RIONEGRO	20	34	46	3	46
6032	-73.075	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	MATANZA	21.7	31.1	47.2	3	47.2
6033	-73.025	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	MATANZA	22.4	26.9	50.7	3	50.7
6034	-72.975	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	SURATÁ	22.6	26.2	51.1	3	51.1
6035	-72.925	7.375	Sogamoso - Lebrija - altiplano	SANTANDER	CALIFORNIA	21.1	20.7	58.3	3	58.3
6036	-72.875	7.375	Catatumbo	SANTANDER	VETAS	34.2	23	42.9	3	42.9
6037	-72.825	7.375	Catatumbo	NORTE DE SANTANDER	CUCUTILLA	33.6	25.1	41.3	3	41.3
6038	-72.775	7.375	Catatumbo	NORTE DE SANTANDER	PAMPLONA	36	23.5	40.5	3	40.5
6039	-72.725	7.375	Catatumbo	NORTE DE SANTANDER	MUTISCUA	37.7	17.9	44.4	3	44.4
6040	-72.675	7.375	Orinoquia occidental	NORTE DE SANTANDER	PAMPLONA	20.8	20.6	58.5	3	58.5
6041	-72.625	7.375	Orinoquia occidental	NORTE DE SANTANDER	PAMPLONA	21.2	19.5	59.3	3	59.3
6042	-72.575	7.375	Orinoquia occidental	NORTE DE SANTANDER	LABATECA	19.4	20.2	60.3	3	60.3
6043	-72.525	7.375	Orinoquia occidental	NORTE DE SANTANDER	LABATECA	19.7	17.8	62.5	3	62.5
6044	-72.475	7.375	Orinoquia occidental	NORTE DE SANTANDER	TOLEDO	20.6	18.7	60.7	3	60.7
6045	-72.425	7.375	Orinoquia occidental	NORTE DE SANTANDER	TOLEDO	20.4	19	60.6	3	60.6
